"Data Source","World Development Indicators",

"Last Updated Date","2020-04-09",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Antigua and Barbuda","ATG","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.7129974365234","71.1460037231445","71.0910034179688","71.4520034790039","72.1989974975586","72.5380020141602","72.754997253418","73.3270034790039","73.713996887207","73.5270004272461","74.5059967041016","74.7030029296875","75.2040023803711","75.0220031738281","75.286003112793","75.125","75.2949981689453","75.068000793457","75.625","75.7929992675781","76.3479995727539","76.4940032958984","76.9300003051758","76.9150009155273","77.9700012207031","78.0210037231445","77.9739990234375","77.4960021972656","77.6350021362305",
"Austria","AUT","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.5040016174316","59.0289993286133","59.7550010681152","60.3339996337891","60.5629997253418","62.273998260498","63.4650001525879","63.951000213623","64.0090026855469","63.9249992370605","64.8300018310547","65.3889999389648","65.5770034790039","68.3649978637695","67.1510009765625","66.5940017700195","67.1490020751953","68.5130004882813","69.7080001831055","69.8789978027344","69.0370025634766","69.245002746582","69.5169982910156","69.4120025634766","69.7050018310547","70.088996887207","71.1480026245117","70.870002746582","71.1630020141602",
"Azerbaijan","AZE","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.2910003662109","44.3409996032715","44.5180015563965","44.7109985351563","44.8969993591309","45.1619987487793","45.939998626709","46.5800018310547","46.5149993896484","48.1100006103516","49.2299995422363","48.2799987792969","48.4070014953613","48.5550003051758","48.6049995422363","48.0999984741211","48.8250007629395","48.2799987792969","49.2150001525879","48.0499992370605","48.0400009155273","48.060001373291","48.5200004577637","48.9449996948242","49.5800018310547","49.3300018310547","49.2799987792969","49.0200004577637","49.2729988098145",
"Burundi","BDI","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.36199998855591","5.3899998664856","5.4060001373291","5.43200016021729","5.44600009918213","5.44899988174438","5.49100017547607","5.59000015258789","5.64300012588501","5.69199991226196","5.73199987411499","5.77500009536743","5.79199981689453","5.78999996185303","5.83599996566772","5.89300012588501","5.94999980926514","5.99399995803833","6.03700017929077","6.09700012207031","6.16499996185303","6.23099994659424","6.28800010681152","6.37200021743774","6.37799978256226","6.40500020980835","6.44099998474121","6.48400020599365","6.51200008392334",
"Belgium","BEL","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.8030014038086","66.4800033569336","67.911003112793","68.234001159668","69.0690002441406","69.6210021972656","69.7969970703125","70.5169982910156","71.8359985351563","72.2789993286133","73.1320037841797","72.4260025024414","73.3600006103516","72.8430023193359","73.2750015258789","73.3529968261719","73.7170028686523","73.7750015258789","75.0380020141602","75.2730026245117","75.4660034179688","77.0719985961914","76.9369964599609","77.3889999389648","77.3889999389648","77.4860000610352","78.0800018310547","77.943000793457","78.1940002441406",
"Benin","BEN","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.5219993591309","29.6800003051758","29.871000289917","29.9449996948242","30.2199993133545","30.4599990844727","30.7789993286133","31.136999130249","31.5259990692139","32.0089988708496","32.4889984130859","32.9659996032715","33.4700012207031","33.9970016479492","34.4329986572266","34.9770011901855","35.6240005493164","36.2750015258789","36.7750015258789","37.2840003967285","37.8349990844727","38.4580001831055","39.1110000610352","39.7270011901855","40.1769981384277","40.6609992980957","41.2220001220703","41.8639984130859","42.4290008544922",
"Burkina Faso","BFA","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.9980001449585","7.12599992752075","7.30700016021729","7.52899980545044","8.2209997177124","9.03800010681152","9.92099952697754","10.8940000534058","11.996000289917","13.164999961853","14.4540004730225","15.8549995422363","17.386999130249","19.0620002746582","20.9120006561279","22.8729991912842","24.9260005950928","26.9669990539551","29.007999420166","30.9939994812012","32.9599990844727","34.8870010375977","36.6389999389648","38.064998626709","38.9000015258789","39.5480003356934","40.1689987182617","40.6669998168945","41.0730018615723",
"Bangladesh","BGD","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.9090003967285","18.3819999694824","20.0030002593994","21.7259998321533","23.5799999237061","25.5949993133545","25.1800003051758","24.867000579834","24.6609992980957","24.4939994812012","26.4069995880127","28.431999206543","30.5440006256104","32.7280006408691","34.9980010986328","37.4049987792969","36.8699989318848","36.2830009460449","35.6749992370605","35.0660018920898","35.4959983825684","35.7830009460449","35.9620018005371","36.3730010986328","36.6020011901855","36.8740005493164","38.9830017089844","39.7270011901855","40.1640014648438",
"Bulgaria","BGR","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.3339996337891","40.4519996643066","42.2879981994629","44.1199989318848","45.7680015563965","47.7789993286133","49.1650009155273","50.8530006408691","52.3330001831055","53.9710006713867","57.5390014648438","56.6319999694824","56.7309989929199","56.3380012512207","56.8190002441406","57.4199981689453","56.9550018310547","56.0999984741211","57.6720008850098","60.2060012817383","61.765998840332","62.2379989624023","63.1529998779297","62.8769989013672","63.2490005493164","63.4570007324219","63.0870018005371","63.3089981079102","63.4640007019043",
