"Data Source","World Development Indicators",

"Last Updated Date","2020-04-09",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0010004043579","11.8800001144409","11.3649997711182","10.8179998397827","11.4449996948242","11.1280002593994","10.8290004730225","10.5520000457764","10.2379999160767","9.85299968719482","9.4069995880127","10.4180002212524","10.7410001754761","10.9200000762939","11.5279998779297","11.8590002059937","12.2849998474121","12.4779996871948","13.4549999237061","14.3909997940063","14.548999786377","15.5310001373291","16.1089992523193","16.6049995422363","17.0429992675781","17.3279991149902","18.0259990692139","18.0799999237061","18.1620006561279",
"Angola","AGO","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.86200046539307","8.7810001373291","8.53600025177002","8.48499965667725","8.63199996948242","8.77999973297119","8.88899993896484","9.01700019836426","8.79399967193604","8.73499965667725","8.77299976348877","9.06999969482422","8.96399974822998","9.09500026702881","8.86699962615967","8.61100006103516","8.41300010681152","8.02000045776367","7.75","7.84600019454956","7.96299982070923","8.32999992370605","8.48799991607666","8.62800025939941","8.625","8.52499961853027","8.37100028991699","8.20699977874756","8.12199974060059",
"Albania","ALB","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.7849998474121","12.6529998779297","12.8219995498657","12.960000038147","13.1070003509521","12.6219997406006","12.5150003433228","12.5100002288818","12.8380002975464","13.3990001678467","14.0629997253418","14.7559995651245","15.0579996109009","15.3760004043579","15.7700004577637","16.4559993743896","17.0450000762939","17.7779998779297","19.9409999847412","20.5930004119873","18.8649997711182","17.2929992675781","16.8780002593994","17.5270004272461","18.617000579834","19.0009994506836","19.3519992828369","19.7509994506836","20.0049991607666",
"Andorra","AND","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.0637025093285","21.0508588951651","21.0436369565892","21.0506446139652","21.14172486169","21.2144891244547","21.2090997586642","21.3201972511105","21.3439996954949","20.7913902822147","20.9318608874594","20.7216951261177","20.541299696657","20.9023078310392","21.5995127935158","22.1904327765113","22.7952441042333","23.4305933203549","24.0652037465721","24.8924208752619","24.5175418857906","24.8572870462719","24.7530335495365","24.5803135096279","24.6075257637032","24.7838409803043","24.8674219483369","24.8595504247093","24.825815170263",
"United Arab Emirates","ARE","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.3429985046387","33.4249992370605","33.5970001220703","33.5499992370605","33.6339988708496","33.4990005493164","33.6479988098145","33.7729988098145","33.4640007019043","33.382999420166","33.6440010070801","33.701000213623","34.1800003051758","34.4739990234375","34.8549995422363","35.6469993591309","36.4160003662109","37.007999420166","37.6049995422363","37.1940002441406","36.6049995422363","36.1269989013672","35.8059997558594","35.5620002746582","35.6599998474121","35.201000213623","34.6220016479492","34.5970001220703","34.359001159668",
"Argentina","ARG","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.9029998779297","32.3540000915527","29.7180004119873","28.5970001220703","27.0909996032715","25.0030002593994","25.5610008239746","24.8999996185303","23.67799949646","22.7800006866455","22.0170001983643","20.2210006713867","21.7919998168945","22.693000793457","23.2609996795654","23.6730003356934","23.9130001068115","24.0209999084473","23.1900005340576","23.3400001525879","23.9710006713867","23.6560001373291","23.9449996948242","24.1569995880127","23.67799949646","22.943000793457","22.4360008239746","21.9109992980957","21.4109992980957",
"Armenia","ARM","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.5550003051758","16.8939990997314","16.4839992523193","16.5669994354248","16.5429992675781","16.4860000610352","16.4109992980957","16.2970008850098","16.2140007019043","16.3649997711182","16.5009994506836","16.9540004730225","17.4360008239746","17.6550006866455","18.1569995880127","18.7569999694824","18.9699993133545","18.30299949646","17.0799999237061","17.4139995574951","16.6840000152588","17.6790008544922","17.0030002593994","16.7280006408691","15.91100025177","15.7840003967285","16.7089996337891","16.8850002288818","17.1749992370605",
"American Samoa","ASM","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
